dataset,normalize,input_window,score_smoothing,is_headline,method,auprc_mean,auprc_sd,auprc_random_mean,n_pairs,n_better_than_control,control_sign_p,distinguishable,rank,reference_rank,rank_changed,reference_distinguishable,kendall_tau,n_discordant_pairs,n_discordant_pairs_distinguishable
mgab,robust,32,1,False,input_norm_control,0.05528969698226724,0.01151020546251883,0.05615605185339527,15,5,0.940765380859375,False,5,6,True,False,0.4666666666666667,4,0
mgab,robust,32,8,False,esn_residual,0.17711732995599794,0.01643940940608755,0.056650660484146395,15,15,3.0517578125e-05,True,1,1,False,True,0.6,3,0
mgab,robust,32,8,False,delay_line_residual,0.056415637770102105,0.012507339689942035,0.056650660484146395,15,7,0.696380615234375,False,3,2,True,False,0.6,3,0
mgab,robust,32,8,False,persistence_residual,0.055944423890644315,0.010612275822810243,0.056650660484146395,15,6,0.84912109375,False,4,5,True,False,0.6,3,0
mgab,robust,32,8,False,moving_statistics,0.054223942237873045,0.010421803801559994,0.056650660484146395,15,3,0.996307373046875,False,6,4,True,False,0.6,3,0
mgab,robust,32,8,False,random_control,0.056650660484146395,0.011959083092313477,0.056650660484146395,15,0,1.0,False,2,3,True,False,0.6,3,0
mgab,robust,32,8,False,input_norm_control,0.055768405604526734,0.011124912888578743,0.056650660484146395,15,7,0.696380615234375,False,5,6,True,False,0.6,3,0
mgab,robust,32,16,False,esn_residual,0.20365600858998562,0.017974744430437135,0.057047673586720374,15,15,3.0517578125e-05,True,1,1,False,True,0.6,3,0
mgab,robust,32,16,False,delay_line_residual,0.05754112873737013,0.014301399204383565,0.057047673586720374,15,9,0.303619384765625,False,2,2,False,False,0.6,3,0
mgab,robust,32,16,False,persistence_residual,0.055920425255537226,0.010810678472457159,0.057047673586720374,15,7,0.696380615234375,False,5,5,False,False,0.6,3,0
mgab,robust,32,16,False,moving_statistics,0.05492743849916902,0.011763070260775095,0.057047673586720374,15,6,0.84912109375,False,6,4,True,False,0.6,3,0
mgab,robust,32,16,False,random_control,0.057047673586720374,0.013078527464569122,0.057047673586720374,15,0,1.0,False,3,3,False,False,0.6,3,0
mgab,robust,32,16,False,input_norm_control,0.05674793433295059,0.012197043816952661,0.057047673586720374,15,7,0.696380615234375,False,4,6,True,False,0.6,3,0
