dataset,series,method,replicate,target_false_alarm_rate,threshold,precision,recall,f1,false_alarm_rate,n_alarms,calibrated_threshold
mgab,1,random_control,0,0.8571428571428571,0.38802214996667317,0.04424371818032518,0.8397755610972568,0.08405878498549098,0.8579431536737823,30445,0.7396820929552632
mgab,1,random_control,0,0.9047619047619048,0.36357653511504395,0.04409247907396459,0.8834164588528678,0.08399276844195488,0.9057671895270669,32137,0.7396820929552632
mgab,1,random_control,0,0.9523809523809523,0.3280032520990517,0.04419415868511292,0.9320448877805486,0.08438699480695416,0.9533258638990447,33828,0.7396820929552632
mgab,1,random_control,0,1.0,0.1557556917700822,0.045157657657657654,1.0,0.08641310203641848,1.0,35520,0.7396820929552632
mgab,1,input_norm_control,0,0.047619047619047616,1.742179218437741,0.03075103489059728,0.032418952618453865,0.031562974203338395,0.04832527420686402,1691,1.963645778726459
mgab,1,input_norm_control,0,0.09523809523809523,1.5393151289017624,0.03873447664104081,0.0816708229426434,0.052547131969514646,0.09585446396980776,3382,1.963645778726459
mgab,1,input_norm_control,0,0.14285714285714285,1.393693604035434,0.040007883326763895,0.12655860349127182,0.060796645702306085,0.14361953060502416,5074,1.963645778726459
mgab,1,input_norm_control,0,0.19047619047619047,1.2722368255344918,0.041093865484109385,0.17331670822942644,0.06643565539490978,0.19126665880410426,6765,1.963645778726459
mgab,1,input_norm_control,0,0.23809523809523808,1.1621802264889993,0.04197706042331796,0.2213216957605985,0.07056952589205845,0.23888430239415026,8457,1.963645778726459
mgab,1,input_norm_control,0,0.2857142857142857,1.0690576933361626,0.04325975561687032,0.2736907730673317,0.07471068754254595,0.2862660691119236,10148,1.963645778726459
mgab,1,input_norm_control,0,0.3333333333333333,0.9827231683539139,0.04315878378378379,0.3185785536159601,0.07601904195180006,0.33403113574714,11840,1.963645778726459
mgab,1,input_norm_control,0,0.38095238095238093,0.9098288045888694,0.04456433375212475,0.3759351620947631,0.0796828543111992,0.38117702559264066,13531,1.963645778726459
mgab,1,input_norm_control,0,0.42857142857142855,0.83911788210753,0.04408093548810932,0.4183291770573566,0.07975751812670867,0.4290305460549593,15222,1.963645778726459
mgab,1,input_norm_control,0,0.47619047619047616,0.7792520561506535,0.04398722951401206,0.46384039900249374,0.08035424991899773,0.47676612808114166,16914,1.963645778726459
mgab,1,input_norm_control,0,0.5238095238095238,0.7241201486931459,0.04412792260145122,0.5118453865336658,0.08125092780444355,0.5243542870621536,18605,1.963645778726459
mgab,1,input_norm_control,0,0.5714285714285714,0.6761649241288978,0.04424299157510962,0.559850374064838,0.08200538788183188,0.5719719306521995,20297,1.963645778726459
mgab,1,input_norm_control,0,0.6190476190476191,0.6239066545185779,0.04461524467891577,0.6115960099750624,0.08316378433367243,0.619383181979007,21988,1.963645778726459
mgab,1,input_norm_control,0,0.6666666666666666,0.5712002421037141,0.045185810810810814,0.6670822942643392,0.08463850656541687,0.666647010260644,23680,1.963645778726459
mgab,1,input_norm_control,0,0.7142857142857143,0.5232744772924889,0.044933191439044576,0.7107231920199502,0.0845227062094532,0.7144415615048945,25371,1.963645778726459
mgab,1,input_norm_control,0,0.7619047619047619,0.4839675014081877,0.04511861651023576,0.7612219451371571,0.0851880276285495,0.7619117820497701,27062,1.963645778726459
mgab,1,input_norm_control,0,0.8095238095238095,0.43282963305591693,0.045524100994644226,0.8160847880299252,0.08623756505698664,0.8092050949404411,28754,1.963645778726459
mgab,1,input_norm_control,0,0.8571428571428571,0.3752391882953816,0.04542617835440959,0.8622194513715711,0.08630534494055976,0.8568817077485552,30445,1.963645778726459
mgab,1,input_norm_control,0,0.9047619047619048,0.31846394862986926,0.04580390204437253,0.9177057356608479,0.08725289706884798,0.9041455360301922,32137,1.963645778726459
mgab,1,input_norm_control,0,0.9523809523809523,0.2075553034846962,0.0455244176421899,0.9600997506234414,0.08692707157371868,0.9519990564925109,33828,1.963645778726459
mgab,1,input_norm_control,0,1.0,0.028779168953406042,0.045157657657657654,1.0,0.08641310203641848,1.0,35520,1.963645778726459
mgab,1,esn_residual,1,0.047619047619047616,0.024090316668178957,0.1354228267297457,0.14276807980049874,0.13899848254931713,0.04310649840783111,1691,0.02758430747092433
mgab,1,esn_residual,1,0.09523809523809523,0.022340719863478853,0.08663512714370195,0.18266832917705736,0.1175290814279984,0.09107795730628612,3382,0.02758430747092433
mgab,1,esn_residual,1,0.14285714285714285,0.021272607336271676,0.06976744186046512,0.22069825436408977,0.10601976639712489,0.13916735464087746,5074,0.02758430747092433
mgab,1,esn_residual,1,0.19047619047619047,0.020429427444867088,0.06223207686622321,0.26246882793017456,0.1006093918030828,0.18705035971223022,6765,0.02758430747092433
mgab,1,esn_residual,1,0.23809523809523808,0.019696293988459956,0.05912262031453234,0.3117206982543641,0.09939369843951892,0.23460903408420805,8457,0.02758430747092433
mgab,1,esn_residual,1,0.2857142857142857,0.019093030881037976,0.055183287347260544,0.3491271820448878,0.09530292716133425,0.2826984314187994,10148,0.02758430747092433
mgab,1,esn_residual,1,0.3333333333333333,0.018560710807918213,0.05396959459459459,0.3983790523690773,0.09506099375185956,0.3302571057907772,11840,0.02758430747092433
