dataset,series,method,replicate,seed_reservoir,seed_task,seed_split,seed_control,normalize,preprocessor_id,selected_alpha,auprc,auprc_random,anomaly_rate,threshold,f1_calibrated,precision_calibrated,recall_calibrated,far_test,n_evaluated,n_train,n_calibration,n_test,t0,split_offset,wall_time_s,f1_test_optimal,pa_f1_k0,pa_f1_random_k0,pa_f1_k20,pa_f1_random_k20
mgab,2,persistence_residual,3,0,1,2,5,zscore,897610aa7f60,nan,0.05541705461611378,0.05587586628924773,0.05498310810810811,0.26416445533783417,0.013083296990841693,0.04411764705882353,0.007680491551459293,0.009682128280751929,35520,14800,8880,35520,200,396,0.037974584149196744,0.10518269377770983,0.810443864229765,0.8121402407116693,0.013083296990841693,0.02006105538595726
mgab,2,moving_statistics,3,0,1,2,5,zscore,897610aa7f60,nan,0.05398237808022648,0.05587586628924773,0.05498310810810811,2.9727342530431997,0.012815036309269544,0.03865979381443299,0.007680491551459293,0.011112104149909137,35520,14800,8880,35520,200,396,0.03787720785476267,0.10570512638656417,0.9128301004907688,0.916256157635468,0.012815036309269544,0.026484408372490387
mgab,2,random_control,3,0,1,2,5,zscore,897610aa7f60,nan,0.05587586628924773,0.05587586628924773,0.05498310810810811,0.7314911021546777,0.02017543859649123,0.07033639143730887,0.011776753712237584,0.00905651383799565,35520,14800,8880,35520,200,396,0.03733583306893706,0.10464442900162149,0.8149120504069309,0.8149120504069309,0.02017543859649123,0.02017543859649123
mgab,2,input_norm_control,3,0,1,2,5,zscore,897610aa7f60,nan,0.05484323158351896,0.05587586628924773,0.05498310810810811,1.9444967178942534,0.016267123287671232,0.04960835509138381,0.00972862263184844,0.01084398367444216,35520,14800,8880,35520,200,396,0.037516999989748,0.10602439173867746,0.6835227272727273,0.9171166940596384,0.016267123287671232,0.025684931506849317
mgab,2,esn_residual,4,0,1,2,5,zscore,897610aa7f60,1e-07,0.16550522643459017,0.06335935312292879,0.05644707207207207,0.026726723016103904,0.16354604508979748,0.34967320261437906,0.10673316708229426,0.011875279725496046,35520,14800,8880,35520,200,497,0.03793400013819337,0.16748768472906403,0.9097096188747731,0.87478184991274,0.16354604508979748,0.029040886511272446
mgab,2,delay_line_residual,4,0,1,2,5,zscore,897610aa7f60,1e-08,0.05646837342750603,0.06335935312292879,0.05644707207207207,0.059533579275509396,0.018466479325572056,0.047325102880658436,0.011471321695760598,0.013814709831418769,35520,14800,8880,35520,200,497,0.038387499982491136,0.10709891403199057,0.896490051419629,0.898700134468848,0.018466479325572056,0.027298273785628258
mgab,2,persistence_residual,4,0,1,2,5,zscore,897610aa7f60,nan,0.05655773545012181,0.06335935312292879,0.05644707207207207,0.26416445533783417,0.013640238704177321,0.0469208211143695,0.00798004987531172,0.009697150529613606,35520,14800,8880,35520,200,497,0.0378581250552088,0.10727910880512742,0.8154550076258261,0.9271676300578034,0.013640238704177321,0.02216538789428815
mgab,2,moving_statistics,4,0,1,2,5,zscore,897610aa7f60,nan,0.05497690184611702,0.06335935312292879,0.05644707207207207,2.9703877526326323,0.012489592006661115,0.037783375314861464,0.007481296758104738,0.011397881545576607,35520,14800,8880,35520,200,497,0.03788579092361033,0.1080575702629193,0.913023679417122,0.9159433531292828,0.012489592006661115,0.024146544546211495
mgab,2,random_control,4,0,1,2,5,zscore,897610aa7f60,nan,0.06335935312292879,0.06335935312292879,0.05644707207207207,0.7421314334646922,0.01840490797546012,0.07581227436823104,0.010473815461346634,0.007638370878711025,35520,14800,8880,35520,200,497,0.03770329197868705,0.11243499979527494,0.830012936610608,0.830012936610608,0.01840490797546012,0.01840490797546012
mgab,2,input_norm_control,4,0,1,2,5,zscore,897610aa7f60,nan,0.056128159102318394,0.06335935312292879,0.05644707207207207,1.9444967178942534,0.01591289782244556,0.04960835509138381,0.009476309226932668,0.010860808593167239,35520,14800,8880,35520,200,497,0.03806483396328986,0.10811141720232628,0.673572228443449,0.9186712485681557,0.01591289782244556,0.02345058626465662
