experiment,rho,leak_rate,state_noise,replicate,n_units,alpha,val_nrmse,regime,amplitude_ratio,std_ratio,autocorr_peak,diverged,n_completed,stats_steps,valid_time_threshold,valid_time_steps,valid_time_lyapunov,valid_time_censored,wall_time_s
4C_stability,0.9,0.1,0.0,4,200,1e-06,9.423472007005062e-05,diverged,5.747679718311967e+307,nan,nan,True,4233,20000,0.4,94,0.8610979936345109,False,0.22308812499977648
4C_stability,0.9,0.1,0.0001,0,200,1e-06,8.732127064520322e-05,diverged,6.274446458103777e+307,nan,nan,True,5389,20000,0.4,157,1.4382168617087043,False,0.2931816659402102
4C_stability,0.9,0.1,0.0001,1,200,1e-05,0.00041281385371542105,diverged,6.191961166550356e+307,nan,nan,True,8771,20000,0.4,363,3.325303954141781,False,0.4171132920309901
4C_stability,0.9,0.1,0.0001,2,200,1e-07,0.0004665782149623091,attractor,2.533160213955858,1.4484411346238641,0.1805437546175758,False,20000,20000,0.4,236,2.1619056010398356,False,0.817732583032921
4C_stability,0.9,0.1,0.0001,3,200,1e-05,0.000191488069865084,diverged,5.515302419171503e+307,nan,nan,True,7638,20000,0.4,155,1.419895627801587,False,0.3740197499282658
4C_stability,0.9,0.1,0.0001,4,200,1e-06,0.00011200542372849376,diverged,5.223937550373225e+307,nan,nan,True,4095,20000,0.4,93,0.8519373766809523,False,0.24837300018407404
4C_stability,0.9,0.1,0.001,0,200,0.0001,0.00025569759176637406,diverged,6.506367836495159e+307,nan,nan,True,10044,20000,0.4,313,2.8672731064638497,False,0.46047812490724027
4C_stability,0.9,0.1,0.001,1,200,1e-05,0.0006592017602082904,diverged,5.796586728645308e+307,nan,nan,True,6550,20000,0.4,142,1.3008076074053248,False,0.3345307500567287
4C_stability,0.9,0.1,0.001,2,200,1e-08,0.0008021091351735619,attractor,1.5445915149817093,1.2135413026821786,0.15096640539353784,False,20000,20000,0.4,228,2.088620665411367,False,0.8171874999534339
4C_stability,0.9,0.1,0.001,3,200,1e-05,0.00037302683736571636,periodic,1.2948681486974178,1.703032985738764,0.9712089581540255,False,20000,20000,0.4,131,1.20004082091618,False,0.8206044160760939
4C_stability,0.9,0.1,0.001,4,200,0.0001,0.00030930976352958354,diverged,5.285788487113337e+307,nan,nan,True,4138,20000,0.4,154,1.4107350108480283,False,0.24883129191584885
4C_stability,0.9,0.1,0.01,0,200,0.01,0.0015421136893592105,attractor,1.1230952393520328,0.7631757488881353,0.0034710054632533737,False,20000,20000,0.4,40,0.36642467814234503,False,0.8209924169350415
4C_stability,0.9,0.1,0.01,1,200,0.001,0.0026317296504787453,diverged,6.381608254441639e+307,nan,nan,True,9618,20000,0.4,234,2.143584367132718,False,0.4458710409235209
4C_stability,0.9,0.1,0.01,2,200,1e-08,0.0024069616015451093,diverged,6.334739728120355e+307,nan,nan,True,8841,20000,0.4,304,2.784827553881822,False,0.4168568749446422
4C_stability,0.9,0.1,0.01,3,200,0.001,0.0019573910867058267,diverged,5.670374724815506e+307,nan,nan,True,5108,20000,0.4,75,0.6870462715168969,False,0.2809962499886751
4C_stability,0.9,0.1,0.01,4,200,0.01,0.0016190331005692283,diverged,6.089736251059443e+307,nan,nan,True,6845,20000,0.4,65,0.5954401019813107,False,0.3491949171293527
4C_stability,0.9,0.3,0.0,0,200,1e-08,1.5504886226050833e-05,attractor,1.1136067980828617,0.8384794087385358,0.1865064453025796,False,20000,20000,0.4,647,5.9269191689524305,False,0.7532906250562519
4C_stability,0.9,0.3,0.0,1,200,1e-07,0.00018186049976533884,attractor,1.0226841671378708,0.99657802702186,0.15908084552254326,False,20000,20000,0.4,618,5.66126127729923,False,0.7546501669567078
4C_stability,0.9,0.3,0.0,2,200,1e-06,0.0003422444523101997,attractor,0.995410063237147,0.7995731743542345,0.0052151443917777965,False,20000,20000,0.4,461,4.223044415590526,False,0.7543985839001834
4C_stability,0.9,0.3,0.0,3,200,1e-08,3.1437276863927e-05,attractor,1.012855229929944,1.0131227368395976,0.17181064403431368,False,20000,20000,0.4,645,5.9085979350453135,False,0.7539742079097778
4C_stability,0.9,0.3,0.0,4,200,1e-08,1.4976012797942892e-05,attractor,1.0065166361446962,1.0027711858309156,0.17030433197182074,False,20000,20000,0.4,432,3.9573865239373265,False,0.7600547091569752
4C_stability,0.9,0.3,0.0001,0,200,1e-06,4.4281913128448605e-05,attractor,1.1228493494294898,0.9924713034621607,0.19257586314744707,False,20000,20000,0.4,359,3.2886614863275465,False,0.8499209168367088
4C_stability,0.9,0.3,0.0001,1,200,1e-08,0.00020577395333613182,attractor,1.0067420472726196,1.0072873328462486,0.14801969568780482,False,20000,20000,0.4,394,3.6092830797020983,False,0.8200284999329597
4C_stability,0.9,0.3,0.0001,2,200,1e-07,0.0003816332706545138,attractor,0.975031937661859,0.8919395868578823,0.11453133099426534,False,20000,20000,0.4,464,4.250526266451202,False,0.8206341250333935
4C_stability,0.9,0.3,0.0001,3,200,1e-08,5.9302401266675306e-05,diverged,5.679065003274528e+307,nan,nan,True,10077,20000,0.4,643,5.890276701138196,False,0.46450025006197393
4C_stability,0.9,0.3,0.0001,4,200,1e-08,4.341784040768003e-05,attractor,1.0380796208190375,1.0102785478534115,0.1913317205621736,False,20000,20000,0.4,93,0.8519373766809523,False,0.8321969169192016
4C_stability,0.9,0.3,0.001,0,200,1e-05,0.00024422641474734975,attractor,1.1537472472219035,0.6785499953951442,0.06494764405939624,False,20000,20000,0.4,346,3.1695734659312844,False,0.8267040001228452
4C_stability,0.9,0.3,0.001,1,200,1e-08,0.0004802416905416057,attractor,1.0279579694607484,0.995424390894904,0.16976141616588525,False,20000,20000,0.4,382,3.499355676259395,False,0.8194244168698788
4C_stability,0.9,0.3,0.001,2,200,1e-08,0.0007372490669516613,attractor,0.9534598101447664,0.7302139413143541,0.04288140300546701,False,20000,20000,0.4,469,4.296329351218995,False,0.820181833114475
4C_stability,0.9,0.3,0.001,3,200,1e-08,0.000315757505193553,attractor,1.0351968456957805,1.0077310896035663,0.1379518303020652,False,20000,20000,0.4,491,4.497862924197285,False,0.8204759999644011
4C_stability,0.9,0.3,0.001,4,200,1e-08,0.0002553634865124523,attractor,1.0077911880020014,1.0028896924561856,0.18211461031550658,False,20000,20000,0.4,85,0.7786524410524831,False,0.825091958977282
4C_stability,0.9,0.3,0.01,0,200,0.0001,0.0015361907543333323,attractor,1.0624585552585835,1.0076896338641144,0.1527469221676329,False,20000,20000,0.4,187,1.713035370315463,False,0.8214864579495043
4C_stability,0.9,0.3,0.01,1,200,1e-08,0.002140112067341692,attractor,1.0300913938809435,1.0129319304649418,0.17983256875796239,False,20000,20000,0.4,233,2.1344237501791596,False,0.8196085419040173
4C_stability,0.9,0.3,0.01,2,200,1e-08,0.002539929315361408,attractor,0.9689945650864321,0.884631937764643,0.06508776477933309,False,20000,20000,0.4,159,1.4565380956158216,False,0.8224460419733077
4C_stability,0.9,0.3,0.01,3,200,1e-08,0.0017956201908488623,attractor,1.017266662058017,1.0111582150397298,0.17189171855208135,False,20000,20000,0.4,365,3.343625188048898,False,0.8228772080037743
4C_stability,0.9,0.3,0.01,4,200,1e-08,0.001699954323868383,diverged,5.164280693294007e+307,nan,nan,True,10640,20000,0.4,60,0.5496370172135175,False,0.4822397909592837
4C_stability,0.9,0.6,0.0,0,200,1e-08,1.3295882940856864e-05,attractor,1.1719093698546483,0.9946085919106225,0.18491729642019314,False,20000,20000,0.4,657,6.0185253384880175,False,0.7552328750025481
4C_stability,0.9,0.6,0.0,1,200,1e-08,0.00010935871222458152,attractor,0.978603245028427,1.0027524142182553,0.1602960467791871,False,20000,20000,0.4,696,6.375789399676803,False,0.7506373750511557
4C_stability,0.9,0.6,0.0,2,200,1e-06,0.0002942019251368999,attractor,1.0327647330287821,0.9989839279829973,0.20413807387899743,False,20000,20000,0.4,467,4.278008117311878,False,0.7519131659064442
4C_stability,0.9,0.6,0.0,3,200,1e-08,3.579450254627809e-05,attractor,1.0192757513232382,1.0077148686410848,0.1488380125991575,False,20000,20000,0.4,889,8.143788471713618,False,0.749847250059247
4C_stability,0.9,0.6,0.0,4,200,1e-08,1.0903090881191926e-05,attractor,2.6486864540580566,2.708968085128743,-0.00029032697342094204,False,20000,20000,0.4,348,3.1878946998384015,False,0.7547724170144647
4C_stability,0.9,0.6,0.0001,0,200,1e-07,6.777135045424189e-05,attractor,1.1072805753402557,0.9995546638352939,0.15489549834508465,False,20000,20000,0.4,368,3.3711070389095745,False,0.8220887079369277
4C_stability,0.9,0.6,0.0001,1,200,1e-08,0.00017683996482385376,attractor,0.9662587219607286,1.0076372489422554,0.20153057766154767,False,20000,20000,0.4,686,6.284183230141218,False,0.8174106669612229
4C_stability,0.9,0.6,0.0001,2,200,1e-08,0.00032299543998774325,attractor,1.0140679502264227,1.004243157361884,0.18361883961576086,False,20000,20000,0.4,843,7.722400091849921,False,0.8197390839923173
4C_stability,0.9,0.6,0.0001,3,200,1e-08,0.00010049570483497299,attractor,1.0185963800470157,1.002001428437944,0.19789947884149955,False,20000,20000,0.4,653,5.9818828706737825,False,0.820052457973361
4C_stability,0.9,0.6,0.0001,4,200,1e-07,6.1070511903151e-05,attractor,1.0220512864685674,1.0052489488285705,0.18248129304743974,False,20000,20000,0.4,501,4.5894690937328715,False,0.8201450000051409
4C_stability,0.9,0.6,0.001,0,200,1e-05,0.0003951665558776726,attractor,1.0897137030138635,0.6902025370671994,-0.0008652261023203186,False,20000,20000,0.4,356,3.2611796354668705,False,0.8211495829746127
4C_stability,0.9,0.6,0.001,1,200,1e-05,0.000633717438581849,attractor,1.0159741416790482,1.0017613341305174,0.16058093642991592,False,20000,20000,0.4,381,3.490195059305836,False,0.8206512499600649
