experiment,task,method,replicate,seed_reservoir,seed_task,seed_split,n_units,rho,leak_rate,state_noise,alpha,val_nrmse,switch_index,warmup_steps,free_run_steps,stats_steps,dt,lyapunov_per_time,lyapunov_time,valid_time_threshold,valid_time_steps,valid_time,valid_time_lyapunov,valid_time_censored,diverged,n_completed,regime,amplitude_ratio,std_ratio,autocorr_peak,return_map_distance,return_map_distance_surrogate,spectrum_distance,spectrum_distance_surrogate,closer_than_surrogate,n_stats_samples,n_return_map_points,n_spectrum_bins,wall_time_s
4B_freerun,mackey_glass,esn,2,0,1,2,200,0.9,0.3,0.0,1e-08,0.0004286994054887344,5469,200,2000,20000,1.0,nan,nan,0.4,695,695.0,nan,False,False,20000,attractor,1.0025285649312954,0.9998644006242862,0.8197746502118748,0.004377113854254625,0.175259387461111,0.29714075817591074,0.9496119870808212,True,20000,699,2049,0.6797223328612745
4B_freerun,mackey_glass,linear,3,0,1,2,200,0.9,0.3,0.0,1.0,0.14637837600538464,5529,200,2000,20000,1.0,nan,nan,0.4,6,6.0,nan,False,False,20000,periodic,0.44033460782373035,0.048021713083383516,-4.7179763309149046e-05,nan,0.1716711954584709,0.9999681358041091,0.9459440590334288,False,20000,0,2049,0.27352608321234584
4B_freerun,mackey_glass,delay_line,3,0,1,2,200,0.9,0.3,0.0,1e-08,0.0005838655939210769,5529,200,2000,20000,1.0,nan,nan,0.4,32,32.0,nan,False,False,20000,periodic,0.44650864864832496,0.04199742408535504,0.6969435480454634,0.8912318173753858,0.1716711954584709,0.49871517935921444,0.9459440590334288,False,20000,645,2049,0.18023366597481072
4B_freerun,mackey_glass,esn,3,0,1,2,200,0.9,0.3,0.0,1e-08,0.00038543915128654466,5529,200,2000,20000,1.0,nan,nan,0.4,310,310.0,nan,False,False,20000,attractor,1.0004870266152204,1.00012196448084,0.8314281784657889,0.0067867767853186664,0.1716711954584709,0.21109430251772054,0.9459440590334288,True,20000,697,2049,0.6754815001040697
4B_freerun,mackey_glass,linear,4,0,1,2,200,0.9,0.3,0.0,1e-08,0.14613335925435522,5498,200,2000,20000,1.0,nan,nan,0.4,11,11.0,nan,False,False,20000,periodic,0.08792485256996568,0.010340918581656729,-1.3041481906688183e-06,nan,0.16836372884285356,0.9999289804760901,0.9424849902277348,False,20000,0,2049,0.2741503750439733
4B_freerun,mackey_glass,delay_line,4,0,1,2,200,0.9,0.3,0.0,1e-08,0.0005950232486561096,5498,200,2000,20000,1.0,nan,nan,0.4,6,6.0,nan,False,False,20000,periodic,0.5118200024631321,0.050518201187608615,0.7147101517917592,0.7767011790662053,0.16836372884285356,0.7740554015485527,0.9424849902277348,False,20000,635,2049,0.1743705419357866
4B_freerun,mackey_glass,esn,4,0,1,2,200,0.9,0.3,0.0,1e-08,0.00045599722935066913,5498,200,2000,20000,1.0,nan,nan,0.4,374,374.0,nan,False,False,20000,attractor,0.9997913454126255,1.0016852989783258,0.8735151779954571,0.008500610709733361,0.16836372884285356,0.689302368743633,0.9424849902277348,True,20000,704,2049,0.6767813749611378
4B_freerun,mackey_glass,linear,5,0,1,2,200,0.9,0.3,0.0,1e-08,0.14492425859014021,5394,200,2000,20000,1.0,nan,nan,0.4,1,1.0,nan,False,False,20000,periodic,0.7970855460445723,0.08580916099884707,-4.907938952018052e-05,nan,0.17186739677529128,0.9999307419033473,0.9525489888087763,False,20000,0,2049,0.27302462491206825
4B_freerun,mackey_glass,delay_line,5,0,1,2,200,0.9,0.3,0.0,1e-08,0.0006053407985412512,5394,200,2000,20000,1.0,nan,nan,0.4,11,11.0,nan,False,False,20000,periodic,0.6441297920064434,0.06734237833289754,0.6999759015352477,0.7663801482881887,0.17186739677529128,0.7092512798278612,0.9525489888087763,False,20000,684,2049,0.17494049994274974
4B_freerun,mackey_glass,esn,5,0,1,2,200,0.9,0.3,0.0,1e-08,0.00045927435271507467,5394,200,2000,20000,1.0,nan,nan,0.4,334,334.0,nan,False,False,20000,attractor,0.9990534703811698,0.9963568255057033,0.8002108119021085,0.007301506738758606,0.17186739677529128,0.7264199483451793,0.9525489888087763,True,20000,684,2049,0.6750501671340317
4B_freerun,mackey_glass,linear,6,0,1,2,200,0.9,0.3,0.0,1e-08,0.1449712354559521,5432,200,2000,20000,1.0,nan,nan,0.4,5,5.0,nan,False,False,20000,periodic,0.45219969397831394,0.051376053531476645,-4.6658994424309356e-05,nan,0.1725346805937379,0.9999389587477963,0.9501172643134823,False,20000,0,2049,0.2781737498007715
4B_freerun,mackey_glass,delay_line,6,0,1,2,200,0.9,0.3,0.0,1e-08,0.0006053137865500525,5432,200,2000,20000,1.0,nan,nan,0.4,18,18.0,nan,False,False,20000,periodic,0.47760712237728276,0.05159616026864474,0.6951132850599648,0.822288331728817,0.1725346805937379,0.6568759980436828,0.9501172643134823,False,20000,657,2049,0.17562399990856647
4B_freerun,mackey_glass,esn,6,0,1,2,200,0.9,0.3,0.0,1e-08,0.0003455697689265388,5432,200,2000,20000,1.0,nan,nan,0.4,798,798.0,nan,False,False,20000,attractor,1.0013235667012705,1.000734104996467,0.8443991456344164,0.005284663311485712,0.1725346805937379,0.30174513534376607,0.9501172643134823,True,20000,699,2049,0.6749690000433475
4B_freerun,mackey_glass,linear,7,0,1,2,200,0.9,0.3,0.0,1.0,0.14578842267796127,5515,200,2000,20000,1.0,nan,nan,0.4,9,9.0,nan,False,False,20000,periodic,0.14007059989906445,0.014873354129402848,-1.3957980671261394e-05,nan,0.1691139231201313,0.9999623401462434,0.9476742162966859,False,20000,0,2049,0.2727466670330614
4B_freerun,mackey_glass,delay_line,7,0,1,2,200,0.9,0.3,0.0,1e-08,0.0005876551440388814,5515,200,2000,20000,1.0,nan,nan,0.4,44,44.0,nan,False,False,20000,periodic,0.4967815052921101,0.05054108317227276,0.6976390152213575,0.7772804773558417,0.1691139231201313,0.7944025727278893,0.9476742162966859,False,20000,638,2049,0.17713212501257658
4B_freerun,mackey_glass,esn,7,0,1,2,200,0.9,0.3,0.0,1e-08,0.0003950077111208917,5515,200,2000,20000,1.0,nan,nan,0.4,782,782.0,nan,False,False,20000,attractor,0.9991826563972699,0.9984766258012229,0.8271321171073945,0.004982650465285061,0.1691139231201313,0.11343968571733105,0.9476742162966859,True,20000,698,2049,0.6743797909002751
4B_freerun,mackey_glass,linear,8,0,1,2,200,0.9,0.3,0.0,0.1,0.14639248657824994,5471,200,2000,20000,1.0,nan,nan,0.4,0,0.0,nan,False,False,20000,periodic,0.43129189976487187,0.04800424039252723,-1.6528007483536887e-05,nan,0.17257484600182202,0.9999365893951323,0.93319390688715,False,20000,0,2049,0.2745271669700742
4B_freerun,mackey_glass,delay_line,8,0,1,2,200,0.9,0.3,0.0,1e-08,0.0006113916288632756,5471,200,2000,20000,1.0,nan,nan,0.4,7,7.0,nan,False,False,20000,periodic,0.41906187758697117,0.041222660836951,0.6951278094016522,0.8109627918871609,0.17257484600182202,0.7636725838618756,0.93319390688715,False,20000,660,2049,0.178153624990955
4B_freerun,mackey_glass,esn,8,0,1,2,200,0.9,0.3,0.0,1e-08,0.0003754780346630445,5471,200,2000,20000,1.0,nan,nan,0.4,642,642.0,nan,False,False,20000,attractor,1.0002981635470667,0.9997332555528036,0.8342013471508536,0.005294179172443057,0.17257484600182202,0.14047636320908377,0.93319390688715,True,20000,697,2049,0.6797411248553544
4B_freerun,mackey_glass,linear,9,0,1,2,200,0.9,0.3,0.0,1.0,0.14587100950916387,5505,200,2000,20000,1.0,nan,nan,0.4,1,1.0,nan,False,False,20000,periodic,0.2027976771862916,0.02048439684132333,-1.2657694756071308e-05,nan,0.1678134617821408,0.9999340559577219,0.9436528699943958,False,20000,0,2049,0.2751834159716964
4B_freerun,mackey_glass,delay_line,9,0,1,2,200,0.9,0.3,0.0,1e-08,0.0006129984038619176,5505,200,2000,20000,1.0,nan,nan,0.4,9,9.0,nan,False,False,20000,periodic,0.6950695067432981,0.06786677894569154,0.6984760571518392,0.7686728086966397,0.1678134617821408,0.7921108207305296,0.9436528699943958,False,20000,642,2049,0.17997004091739655
4B_freerun,mackey_glass,esn,9,0,1,2,200,0.9,0.3,0.0,1e-08,0.0003936233713910491,5505,200,2000,20000,1.0,nan,nan,0.4,963,963.0,nan,False,False,20000,attractor,1.004101706902084,0.999272443253246,0.8352853307715118,0.005372485326135585,0.1678134617821408,0.11672147725767613,0.9436528699943958,True,20000,693,2049,0.6810363340191543
