experiment,condition_id,replicate,diagnostic,key,value
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0.0001,2,ipc,n_targets,601.0
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0.0001,2,ipc,n_targets_kept,601.0
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0.0001,2,ipc,saturation_ratio,3.004946852322612
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0.0001,2,ipc,ipc_threshold_degree1,0.032421545243524294
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0.0001,2,ipc,ipc_threshold_degree2,0.498059405713266
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0.0001,2,ipc,ipc_threshold_degree3,0.041700948244585784
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0.0001,2,ipc,ipc_threshold_degree4,0.2880391155566469
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0.0001,3,memory_capacity,mc_total,259.39661234535834
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0.0001,3,memory_capacity,mc_total_raw,259.39661234535834
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0.0001,3,memory_capacity,mc_threshold,0.03372385599484386
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0.0001,3,memory_capacity,mc_effective_delay,148.67409064602538
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0.0001,3,memory_capacity,mc_ratio,1.2969830617267917
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0.0001,3,memory_capacity,n_delays,400.0
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0.0001,3,ipc,ipc_total,600.9878594624674
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0.0001,3,ipc,ipc_total_raw,600.9878594624674
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0.0001,3,ipc,ipc_linear,59.990389740058006
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0.0001,3,ipc,ipc_nonlinear,540.9974697224094
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0.0001,3,ipc,n_targets,601.0
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0.0001,3,ipc,n_targets_kept,601.0
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0.0001,3,ipc,saturation_ratio,3.004939297312337
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0.0001,3,ipc,ipc_threshold_degree1,0.03198460286910837
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0.0001,3,ipc,ipc_threshold_degree2,0.5161895927789809
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0.0001,3,ipc,ipc_threshold_degree3,0.035844202698652204
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0.0001,3,ipc,ipc_threshold_degree4,0.29161620064374566
4D_freerun_capacity,leak_rate=0.1|n_units=200|rho=0.7|state_noise=0.0001,4,memory_capacity,mc_total,266.40367498392817
