experiment,replicate,seed_reservoir,seed_drive,seed_probe,rho,leak_rate,input_scale,sigma_u,input_amplitude,input_drive_std,n_units,density,n_steps,washout,window,n_pairs,d_initial,d_tail,converged,decay_rate_per_step,lyapunov_per_step,lyapunov_per_time,tau_1e,tau_censored,tau_integrated,wall_time_s
2C_esp_map,0,0,1,3,0.4,1.0,1.0,0.0,0.0,0.0,200,0.1,3000,200,200,10,0.27164813879523864,0.0,1,-0.9871032429170632,-0.9168710001783267,-0.9168710001783267,1.1315780125025041,1.1315780125025041,1.6660265348295322,0.33044925006106496
2C_esp_map,0,0,1,3,0.4,1.0,1.0,0.05,0.08660254037844387,0.05032738437221543,200,0.1,3000,200,200,10,0.2711220518122132,1.3121533497015894e-18,1,-0.9876395751577365,-0.9178028205176623,-0.9178028205176623,0.6321464697085536,0.6321464697085536,1.0074090294498814,0.33453908399678767
2C_esp_map,0,0,1,3,0.4,1.0,1.0,0.1,0.17320508075688773,0.10065476874443086,200,0.1,3000,200,200,10,0.2698999931124566,2.6992048266058875e-18,1,-0.9895117791366566,-0.9205752275318357,-0.9205752275318357,0.63209500955104,0.63209500955104,1.0,0.33664204203523695
2C_esp_map,0,0,1,3,0.4,1.0,1.0,0.2,0.34641016151377546,0.2013095374888617,200,0.1,3000,200,200,10,0.2654811605252764,5.162152240423303e-18,1,-0.9970885509462596,-0.9313326920532279,-0.9313326920532279,0.6318915226990429,0.6318915226990429,0.9999999999999999,0.3337247909512371
2C_esp_map,0,0,1,3,0.4,1.0,1.0,0.5,0.8660254037844386,0.5032738437221543,200,0.1,3000,200,200,10,0.24080412902535453,0.0,1,-1.0437734145091664,-0.9947756584988123,-0.9947756584988123,0.6305602566223775,0.6305602566223775,1.0,0.3348472088109702
2C_esp_map,0,0,1,3,0.4,1.0,1.0,1.0,1.7320508075688772,1.0065476874443087,200,0.1,3000,200,200,10,0.19423444276159132,0.0,1,-1.151486585099244,-1.138564917111799,-1.138564917111799,0.6263728009290953,0.6263728009290953,0.9999999999999999,0.33494991599582136
2C_esp_map,0,0,1,3,0.4,1.0,1.0,2.0,3.4641016151377544,2.0130953748886173,200,0.1,3000,200,200,10,0.1420118519242023,0.0,1,-1.3863829816210362,-1.3960200289624092,-1.3960200289624092,0.618202852291795,0.618202852291795,1.0,0.33521245908923447
2C_esp_map,0,0,1,3,0.5,1.0,1.0,0.0,0.0,0.0,200,0.1,3000,200,200,10,0.33219632345309513,0.0,1,-0.7465992931009098,-0.6937274488641167,-0.6937274488641167,1.5274314249988423,1.5274314249988423,1.9992415590529728,0.334760291967541
2C_esp_map,0,0,1,3,0.5,1.0,1.0,0.05,0.08660254037844387,0.05032738437221543,200,0.1,3000,200,200,10,0.3316179037496202,2.4376946736141868e-18,1,-0.7627807262429032,-0.6947304654329558,-0.6947304654329558,0.6365303580442196,0.6365303580442196,1.006927869440841,0.33265804103575647
2C_esp_map,0,0,1,3,0.5,1.0,1.0,0.1,0.17320508075688773,0.10065476874443086,200,0.1,3000,200,200,10,0.3302588438858585,4.7946742766345236e-18,1,-0.7218639586191538,-0.697710379079085,-0.697710379079085,0.636476189101805,0.636476189101805,1.0068433514840422,0.34074675012379885
2C_esp_map,0,0,1,3,0.5,1.0,1.0,0.2,0.34641016151377546,0.2013095374888617,200,0.1,3000,200,200,10,0.3253020129795362,8.734120143523122e-18,1,-0.7618399688075613,-0.7092155636561228,-0.7092155636561228,0.6362757433155904,0.6362757433155904,1.0065477029140204,0.3344551248010248
