experiment,replicate,offset_ratio,drive_mean,drive_std,rho,leak_rate,n_units,sigma_u,n_steps,degree,capacity,capacity_raw,ipc_total,wall_time_s
3S_symmetry,2,0.5,0.09941331686896832,0.20036185636397266,0.95,1.0,50,0.2,30000,4,0.35852805145695377,0.4215460932649455,34.33426999331247,0.9228614999447018
3S_symmetry,2,1.0,0.19941331686896835,0.20036185636397263,0.95,1.0,50,0.2,30000,1,12.73293335202793,12.776115263069833,36.293032769001975,0.9193681669421494
3S_symmetry,2,1.0,0.19941331686896835,0.20036185636397263,0.95,1.0,50,0.2,30000,2,16.378872471418628,16.409793714988666,36.293032769001975,0.9193681669421494
3S_symmetry,2,1.0,0.19941331686896835,0.20036185636397263,0.95,1.0,50,0.2,30000,3,6.753173526094727,6.760207589213907,36.293032769001975,0.9193681669421494
3S_symmetry,2,1.0,0.19941331686896835,0.20036185636397263,0.95,1.0,50,0.2,30000,4,0.4280534194606934,0.48321368898238726,36.293032769001975,0.9193681669421494
3S_symmetry,2,2.0,0.39941331686896836,0.20036185636397263,0.95,1.0,50,0.2,30000,1,11.426744264036417,11.479322684534532,37.41919282569861,0.9206435831729323
3S_symmetry,2,2.0,0.39941331686896836,0.20036185636397263,0.95,1.0,50,0.2,30000,2,20.283991983399314,20.337064671377128,37.41919282569861,0.9206435831729323
3S_symmetry,2,2.0,0.39941331686896836,0.20036185636397263,0.95,1.0,50,0.2,30000,3,5.319273017025008,5.346642758610768,37.41919282569861,0.9206435831729323
3S_symmetry,2,2.0,0.39941331686896836,0.20036185636397263,0.95,1.0,50,0.2,30000,4,0.3891835612378687,0.44762321577554787,37.41919282569861,0.9206435831729323
3S_symmetry,2,3.0,0.5994133168689684,0.20036185636397263,0.95,1.0,50,0.2,30000,1,10.449510894990391,10.504902716272968,36.88644634001213,0.9235703749582171
3S_symmetry,2,3.0,0.5994133168689684,0.20036185636397263,0.95,1.0,50,0.2,30000,2,20.17869078593756,20.307952884747984,36.88644634001213,0.9235703749582171
3S_symmetry,2,3.0,0.5994133168689684,0.20036185636397263,0.95,1.0,50,0.2,30000,3,5.8378790039935975,5.8812484641938,36.88644634001213,0.9235703749582171
3S_symmetry,2,3.0,0.5994133168689684,0.20036185636397263,0.95,1.0,50,0.2,30000,4,0.42036565509056667,0.483113577514829,36.88644634001213,0.9235703749582171
