experiment,sweep_axis,level,topology_kind,graph,replicate,n_units,n_steps,rho,leak_rate,sigma_u,state_noise,nominal_density,realized_density,in_degree_max,in_degree_std,gain_max,gain_std,mc_total,mc_effective_delay,ipc_total,ipc_linear,ipc_nonlinear,wall_time_s
3T_topology_ladder,n_units,control_no_self,control,1,1,25,20000,0.95,1.0,0.2,0.0,0.1504,0.1488,7.0,1.5625619987699688,1.1009287554454685,0.22767275645836543,9.133424633894453,5.569646450880048,15.569577849640517,9.13711096513835,6.432466884502167,0.6638619578443468
3T_topology_ladder,n_units,control_no_self,control,1,2,25,20000,0.95,1.0,0.2,0.0,0.1504,0.1488,7.0,1.5625619987699688,1.436529602257183,0.336606312233283,13.738655764658775,8.595921368968586,18.335078486530225,13.711932500485666,4.623145986044559,0.6638322081416845
3T_topology_ladder,n_units,control_no_self,control,2,0,25,20000,0.95,1.0,0.2,0.0,0.1504,0.1376,8.0,1.471869559437928,1.4582621294494784,0.32860453599823025,11.866256874581183,7.177978013523081,17.794065940143312,11.866344979063427,5.927720961079885,0.660687041003257
3T_topology_ladder,n_units,control_no_self,control,2,1,25,20000,0.95,1.0,0.2,0.0,0.1504,0.1376,8.0,1.471869559437928,1.70819015920949,0.3280332838087083,10.701749593741571,6.866803006006941,15.59215958379794,10.708117628713559,4.884041955084381,0.6633902920875698
3T_topology_ladder,n_units,control_no_self,control,2,2,25,20000,0.95,1.0,0.2,0.0,0.1504,0.1376,8.0,1.471869559437928,1.2636878005789947,0.266683882107602,11.978972335230653,7.461753843538899,18.255595494068118,11.945732003956046,6.309863490112072,0.667308040894568
3T_topology_ladder,n_units,control_no_self,control,3,0,25,20000,0.95,1.0,0.2,0.0,0.1504,0.1488,9.0,1.929144888285999,1.5103785715218634,0.3341469515021526,11.610206042497829,6.904206732645346,17.072463383009193,11.605737874103047,5.466725508906146,0.6642122080083936
3T_topology_ladder,n_units,control_no_self,control,3,1,25,20000,0.95,1.0,0.2,0.0,0.1504,0.1488,9.0,1.929144888285999,1.4051049310870944,0.3586345419070468,9.869096747084061,6.199802873354546,17.040938284539383,9.855368587420806,7.185569697118577,0.6743988750968128
3T_topology_ladder,n_units,control_no_self,control,3,2,25,20000,0.95,1.0,0.2,0.0,0.1504,0.1488,9.0,1.929144888285999,1.5062544077926987,0.3711687940064905,11.437403825041763,7.0367174496961304,16.970621948548647,11.426233874405888,5.544388074142759,0.6675994999241084
3T_topology_ladder,n_units,control_no_self,control,4,0,25,20000,0.95,1.0,0.2,0.0,0.1504,0.152,8.0,1.8761663039293717,1.3875425203347715,0.3050486029608789,9.699393080310037,5.979852468174613,17.07694578746621,9.699648815838948,7.377296971627263,0.6611237081233412
3T_topology_ladder,n_units,control_no_self,control,4,1,25,20000,0.95,1.0,0.2,0.0,0.1504,0.152,8.0,1.8761663039293717,1.629944643304251,0.38472184313245894,12.47012099610271,7.886630193202046,17.103349775362908,12.458731538967083,4.644618236395825,0.6640721671283245
3T_topology_ladder,n_units,control_no_self,control,4,2,25,20000,0.95,1.0,0.2,0.0,0.1504,0.152,8.0,1.8761663039293717,1.7073704632311966,0.42062031900621916,11.541928990017325,7.421432202141374,18.338880044799932,11.514921709155232,6.823958335644701,0.6652930420823395
3T_topology_ladder,n_units,control_no_self,control,5,0,25,20000,0.95,1.0,0.2,0.0,0.1504,0.1424,6.0,1.4718695594379279,1.4761087784679405,0.4016813995466751,11.999332946600173,7.643802622392721,17.779347351092234,11.98457563342201,5.7947717176702245,0.665608333889395
3T_topology_ladder,n_units,control_no_self,control,5,1,25,20000,0.95,1.0,0.2,0.0,0.1504,0.1424,6.0,1.4718695594379279,1.3849315363318042,0.3520394471148702,11.144673760046054,6.62314299950314,17.314000535630974,11.14817231255938,6.165828223071594,0.6611143748741597
3T_topology_ladder,n_units,control_no_self,control,5,2,25,20000,0.95,1.0,0.2,0.0,0.1504,0.1424,6.0,1.4718695594379279,1.5000037823699932,0.3658339105855648,9.847735102588471,6.4235380461527685,16.431627713909645,9.832213516809633,6.599414197100012,0.6640405000653118
3T_topology_ladder,n_units,control_no_self,control,6,0,25,20000,0.95,1.0,0.2,0.0,0.1504,0.1744,9.0,1.7861690849412886,1.758820971787716,0.3374167041120651,11.743603489020854,6.994665529722835,19.1250038313662,11.73342150390977,7.39158232745643,0.6675113330129534
3T_topology_ladder,n_units,control_no_self,control,6,1,25,20000,0.95,1.0,0.2,0.0,0.1504,0.1744,9.0,1.7861690849412886,1.674766960105708,0.31674812635440913,13.355022103710091,8.507445049591935,18.565457656274614,13.346704593410983,5.21875306286363,0.6657426250167191
3T_topology_ladder,n_units,control_no_self,control,6,2,25,20000,0.95,1.0,0.2,0.0,0.1504,0.1744,9.0,1.7861690849412886,1.2979805628089587,0.28602274843768705,11.269104518511226,7.111068306077479,16.320154843697708,11.24090156747282,5.079253276224888,0.6643192078918219
3T_topology_ladder,n_units,control_no_self,control,7,0,25,20000,0.95,1.0,0.2,0.0,0.1504,0.1424,7.0,1.5768322675541617,2.065982996165157,0.4696577281715024,10.983225998454053,6.80101954822444,17.16838744565078,10.982772999026865,6.185614446623914,0.6657628749962896
3T_topology_ladder,n_units,control_no_self,control,7,1,25,20000,0.95,1.0,0.2,0.0,0.1504,0.1424,7.0,1.5768322675541617,1.9281672754430865,0.38147058018231494,10.108294070592278,6.644205845345545,17.32873838159525,10.101748807645881,7.2269895739493695,0.663811834063381
3T_topology_ladder,n_units,control_no_self,control,7,2,25,20000,0.95,1.0,0.2,0.0,0.1504,0.1424,7.0,1.5768322675541617,1.4390401423371264,0.3495150737037139,11.224179098085349,7.872717352356026,18.261406898322555,11.19667281878001,7.064734079542545,0.6648792501073331
3T_topology_ladder,n_units,degree_preserving,degree_preserving,0,0,25,20000,0.95,1.0,0.2,0.0,0.1504,0.1504,13.0,2.9970652311886705,1.3126985970188927,0.26201509841986437,9.505348428462904,7.169854754931422,14.098698155217122,9.472945512033839,4.625752643183283,0.6913313749246299
3T_topology_ladder,n_units,degree_preserving,degree_preserving,0,1,25,20000,0.95,1.0,0.2,0.0,0.1504,0.1504,13.0,2.9970652311886705,1.3414515893884678,0.2842615680282876,8.853948367112315,6.084096213836499,14.029314038767344,8.831818829125726,5.197495209641618,0.6862030830234289
