experiment,threshold_mode,n_surrogates,surrogate_quantile,level,graph,replicate,mc_total,ipc_total,ipc_total_raw,ipc_linear,ipc_nonlinear,wall_time_s
3Th_ladder_threshold,surrogate,400,0.95,control_symmetric,1,0,13.079015818470737,31.187021383726208,32.04791841442206,13.017832600197872,18.169188783528334,2.193679708056152
3Th_ladder_threshold,surrogate,400,0.99,control_symmetric,1,0,13.006760292906055,31.106289690566943,32.04791841442206,13.00708916575302,18.099200524813924,2.1894783340394497
3Th_ladder_threshold,surrogate,400,0.999,control_symmetric,1,0,13.002539217283081,31.085454845641223,32.04791841442206,13.003221307500022,18.082233538141203,2.1845142089296132
3Th_ladder_threshold,none,25,0.95,control_symmetric,1,1,14.744334053039037,31.141764608980697,31.141764608980697,13.903723007807091,17.238041601173606,0.12020187499001622
3Th_ladder_threshold,surrogate,25,0.95,control_symmetric,1,1,13.94594646068506,30.427631857612553,31.141764608980697,13.872679115046596,16.55495274256596,0.21903091599233449
3Th_ladder_threshold,surrogate,25,0.99,control_symmetric,1,1,13.932846527766639,30.311326247113406,31.141764608980697,13.872679115046596,16.438647132066812,0.21705283294431865
3Th_ladder_threshold,surrogate,25,0.999,control_symmetric,1,1,13.926140730338453,30.27634118120794,31.141764608980697,13.872679115046596,16.403662066161345,0.21651841700077057
3Th_ladder_threshold,surrogate,100,0.95,control_symmetric,1,1,13.915773990975973,30.39470134981548,31.141764608980697,13.872679115046596,16.522022234768883,0.5999304580036551
3Th_ladder_threshold,surrogate,100,0.99,control_symmetric,1,1,13.901191921244981,30.225616740313313,31.141764608980697,13.872679115046596,16.35293762526672,0.5936505841091275
3Th_ladder_threshold,surrogate,100,0.999,control_symmetric,1,1,13.897294569306641,30.158478227949907,31.141764608980697,13.868781815311351,16.289696412638556,0.5916396249085665
3Th_ladder_threshold,surrogate,400,0.95,control_symmetric,1,1,13.932846527766639,30.387701677198102,31.141764608980697,13.872679115046596,16.515022562151508,2.1736633328255266
3Th_ladder_threshold,surrogate,400,0.99,control_symmetric,1,1,13.908623012602451,30.261261571484585,31.141764608980697,13.872679115046596,16.388582456437987,2.173823832999915
3Th_ladder_threshold,surrogate,400,0.999,control_symmetric,1,1,13.897294569306641,30.163569707861633,31.141764608980697,13.860494354243263,16.303075353618368,2.1755434169899672
3Th_ladder_threshold,none,25,0.95,control_symmetric,2,0,13.482513273596126,32.04911301821066,32.04911301821066,12.649328710098642,19.399784308112018,0.1208617091178894
3Th_ladder_threshold,surrogate,25,0.95,control_symmetric,2,0,12.635945131531413,31.19565291610748,32.04911301821066,12.5987169574355,18.59693595867198,0.21766950003802776
3Th_ladder_threshold,surrogate,25,0.99,control_symmetric,2,0,12.622045795026148,31.12824777728804,32.04911301821066,12.591345755280377,18.53690202200766,0.21931904181838036
