experiment,n_units,leak_rate,method,replicate,alpha,n_lags,nrmse,nmse,rmse,mc_total,ipc_total,ipc_linear,ipc_nonlinear,nonlinear_share,wall_time_s
3C2_narma10_operating,25,0.3,delay_line_ols,2,0.0,25,0.409134217899459,0.16739080825620198,0.04272744383676847,8.051017255300868,16.939962008481857,7.975572780617579,8.964389227864277,0.5291859110059278,0.44099916610866785
3C2_narma10_operating,25,0.3,linear,3,100.0,0,1.0002585655188065,1.0005171978937406,0.10912527502712209,8.051017255300868,16.939962008481857,7.975572780617579,8.964389227864277,0.5291859110059278,0.44099916610866785
3C2_narma10_operating,25,0.3,delay_line,3,1.0,30,0.3844161419734607,0.14777577020975988,0.04193867332289332,8.051017255300868,16.939962008481857,7.975572780617579,8.964389227864277,0.5291859110059278,0.44099916610866785
3C2_narma10_operating,25,0.3,esn,3,1e-10,0,0.5385336795461713,0.2900185240055383,0.058752444535541494,8.051017255300868,16.939962008481857,7.975572780617579,8.964389227864277,0.5291859110059278,0.44099916610866785
3C2_narma10_operating,25,0.3,delay_line_ols,3,0.0,30,0.38453319346114495,0.14786577687342634,0.04195144329680427,8.051017255300868,16.939962008481857,7.975572780617579,8.964389227864277,0.5291859110059278,0.44099916610866785
3C2_narma10_operating,25,0.3,linear,4,100.0,0,1.0024336655125003,1.0048732537528273,0.10932973608507367,8.051017255300868,16.939962008481857,7.975572780617579,8.964389227864277,0.5291859110059278,0.44099916610866785
3C2_narma10_operating,25,0.3,delay_line,4,1e-10,30,0.3924103827275435,0.1539859084723772,0.042797967642787725,8.051017255300868,16.939962008481857,7.975572780617579,8.964389227864277,0.5291859110059278,0.44099916610866785
3C2_narma10_operating,25,0.3,esn,4,1e-10,0,0.5339918803348955,0.2851473282635974,0.05823945599306925,8.051017255300868,16.939962008481857,7.975572780617579,8.964389227864277,0.5291859110059278,0.44099916610866785
3C2_narma10_operating,25,0.3,delay_line_ols,4,0.0,30,0.39241038272753975,0.15398590847237423,0.042797967642787316,8.051017255300868,16.939962008481857,7.975572780617579,8.964389227864277,0.5291859110059278,0.44099916610866785
3C2_narma10_operating,25,0.6,linear,0,100.0,0,1.0147244503074777,1.0296657100518127,0.11094512594233541,8.57044756392335,18.77450412277798,8.560960410438597,10.213543712339384,0.5440113701830294,0.43572354200296104
3C2_narma10_operating,25,0.6,delay_line,0,10.0,30,0.3952810654349529,0.15624712069139152,0.043218144171072996,8.57044756392335,18.77450412277798,8.560960410438597,10.213543712339384,0.5440113701830294,0.43572354200296104
3C2_narma10_operating,25,0.6,esn,0,1e-08,0,0.524841897555127,0.27545901742926643,0.0573837068836014,8.57044756392335,18.77450412277798,8.560960410438597,10.213543712339384,0.5440113701830294,0.43572354200296104
3C2_narma10_operating,25,0.6,delay_line_ols,0,0.0,30,0.390331493450001,0.1523586747789082,0.04267698160515203,8.57044756392335,18.77450412277798,8.560960410438597,10.213543712339384,0.5440113701830294,0.43572354200296104
3C2_narma10_operating,25,0.6,linear,1,100.0,0,1.0009270988379626,1.0018550571881806,0.10795802733625796,8.57044756392335,18.77450412277798,8.560960410438597,10.213543712339384,0.5440113701830294,0.43572354200296104
3C2_narma10_operating,25,0.6,delay_line,1,1e-10,30,0.3811273121985076,0.14525802810365868,0.04110764194184534,8.57044756392335,18.77450412277798,8.560960410438597,10.213543712339384,0.5440113701830294,0.43572354200296104
3C2_narma10_operating,25,0.6,esn,1,1e-10,0,0.5058711556371079,0.25590562610562306,0.05456226743416048,8.57044756392335,18.77450412277798,8.560960410438597,10.213543712339384,0.5440113701830294,0.43572354200296104
3C2_narma10_operating,25,0.6,delay_line_ols,1,0.0,30,0.38112731219847684,0.14525802810363522,0.04110764194184202,8.57044756392335,18.77450412277798,8.560960410438597,10.213543712339384,0.5440113701830294,0.43572354200296104
3C2_narma10_operating,25,0.6,linear,2,100.0,0,1.0265367467791666,1.053777692487955,0.10720514020942726,8.57044756392335,18.77450412277798,8.560960410438597,10.213543712339384,0.5440113701830294,0.43572354200296104
3C2_narma10_operating,25,0.6,delay_line,2,1.0,25,0.40679684621539036,0.16548367409078796,0.042483343214069554,8.57044756392335,18.77450412277798,8.560960410438597,10.213543712339384,0.5440113701830294,0.43572354200296104
